speaker_id,language,gender,country,mother_tongue,dialect,os,device,n_words,age_band,native_speaker,proficiency,id,corpus_index,reference,prediction,WER,WER_sub,WER_del,WER_ins,WER_hits,CER,CER_sub,CER_del,CER_ins,CER_hits
CEB_012,Cebuano,male,Philippines,Tagalog / Filipino,Philippines - Manila (Tagalog),Linux,Mobile,146,45-59,True,native,001_001,7,"Unsa imong paboritong nga app? Ang ako gyung paborito nga app no kay Twitter, Discord o kaning Facebook. Di man jud namawala ang Facebook pero usahay toxic lang ka-- toxic lang kaayo ang naa sa Facebook. Pero ganahan ko Discord kay naa man didto ang mga projects nga akong gipang-apilan kaning mga online sama sa ani nga airdrops, mga ingon ana. Ug diri sa Telegram kay naa man diri ako mga kauban sa nag kuan ani ubang project. So, samot nang Twitter, ganahan kaay ko sa Twitter kay dali ra siya ba. Unya daghan kaay didtong mga tweets nga akong ganahan. Niyá open kaayo siya sa tanan. Open siya sa mga bashers, mga unsa pa dinha naa syay ug fake news gani ang imohang makuanan, naay mga, naay mga community nga motudlo nimo nga fake news na siya ug i-i-korek ka sa komunidad. Ingon ana ba."," Onsa imong paborito nga up? Ang akong yung paborito nga up, no, kay Twitter, Discord, o kaning Facebook, di manjo na mawala ang Facebook, pero usahay, tug-sik lang ka-tug-sik lang kaayo ang nga sa Facebook, pero ganahan ko, Discord, ganahan ko nga ama dito ang mga projects nga akong ipang apilan ka ni mga online sa mga saan ni mga airdrops, mga ingunana, ug diri sa telegram kay nga aman diri ako mga kauban sa nag-koan ani ko bang project. So, samot ng Twitter ganahan kay ko sa Twitter kay, dali eras siya ba? Unya, daghan kay dito mga tweets nga kung ganahan niya. Open kay siya sa tanan. Open siya sa mga bashers, mga onsad pa din ha. Nga asay ug fake news gan niyang imuhang makuanan, na ay mga, na ay mga community nga mo todlo ni mga fake news na siya og i-ir-ir-i-kore ka sa komunidad. Ingunan na ba?",0.5616438356164384,72,2,8,72,0.15802781289506954,48,29,48,714
CEB_012,Cebuano,male,Philippines,Tagalog / Filipino,Philippines - Manila (Tagalog),Linux,Mobile,113,45-59,True,native,001_002,8,"Unsa ang imong paborito nga bulak? Daghan kay ko'g paborito nga bulak, pero ang rose usa na na siya. Unya unsa gani toy? Chrysanthemum man siguro na pero gan-- ambot ganahan kay ko'g chrysanthemum nga yellow kay ako gibutang sa altar. Pero ang rose, nindot man gud kaayong rose kay basta nindot kaayo siya tan-awon sambot naglain-lain og kolor. Mga orchids ingon ana, nindot kaayo na sila. Ganahan kay ko ana nila. Unya ang mga orchids, mga dahlia, mga cosmos, basta daghan. nya karon ay nindot kaayo ning sakura pero ang sakura tua raman sa Japan wala man kaayo ni diri. Cherry blossoms mao raman siguro nag sakura? Ganahan kay ikog ana nila."," Unsa ang imong paborito nga bulak, daghan kay kog paborito nga bulak, pero ang rose usanan siya, nga usagan ito i kresantimo man siguro na, pero ang bot ganahan kay kog kresantimo nga iyalo kay akog ibutangan sa altar, pero ang rose nindot mangod kay ang rose kay. Basta nindot kay siya tanawon sa bot naglainlaino golor, mga orchids, singunana, nindot kay nga sila, ganahan kay ko ana nila. Unya ang mga orchids, mga dalga, mga kusmos, basta daghan ya karo na inindot kayo nying sakura, pero ang sakura to araman sa Japan, wala man kayo nidiri. Cherry Blossom us maura man siguro nagsakura, ganahan kay ko ana nila.",0.584070796460177,62,4,0,47,0.16018662519440124,40,45,18,558
CEB_012,Cebuano,male,Philippines,Tagalog / Filipino,Philippines - Manila (Tagalog),Linux,Mobile,263,45-59,True,native,001_003,9,"Kanus-a nimo labhan ang imong bayo? Ang pasabot siguro ani nga bayo kay murag deeper man ni siya nga Bisaya or Cebuano version. Dili man ni siya sa amoang nga pagka-Cebuana diri sa Cebu. So, kani siya, ang akong bayo or ang akong mga sinina, labhan naku siguro kaduha sa usa ka semana. Pero karon sa, nga busy kaayo ko, ako na ning ipa-laundry. Unya kay karon gidaghan man ni kaayo, mga pila siguro ni siya ka load sa laundry kon ako ni siya ipalabhan didto sa gawas. Unya kay magpalaba man ko karon, ang ako siguro mabayran ani mga sa tulo ka load naa na siya sa mga 600 kapin. Unya mopalit lang ko og Downy sa gawas, tag diyes ang usa, unya kinahanglan kon tulo ga ni kay maggamit man ko og Downy ana upat kada load. So, upat kada load, unya tulo ka, tulo ka, tulo ka hulganan, tulo ka load, tag upat kada, kada load, so naay 12 ang akong palitunon ani nga Downy. Unya ang sabon nga gamiton ani nga liquid soap kay Kuan, tag, tag duha kada lunod. Unya mopalit pagyud ko og kanang, unsa gitawag ani, bleach ba, kanang zonrox ani nga dekulor. Bahinon lang naku katong tag baynte. Bahinon sa tulo ka load. Unya inig kahuman sa tulo ka load, mga duha ka oras mahuman na ang labha, unya ako pa ni siyang ipapiko daan didto. Unya tulo ka load, tulo sa ana siya kapiko. Unya tag 40 man kada load sa piko, so naay mga 120 kada, kada piko. Unya maora to siya, bye."," Kanusan imu labahan ang imong bayo? Ang pasabot siguro aninga bayo kay mula deeper manis siya nga bisaya o sibuana version, dili manis siya sa amuanga. Pagka sibuana dili sa sibuso. Kanis siya ang akong bayo o nga akong mga sinina labahan ako siguro kaduha sa usaka simana. Pero karun sa nga bisay kaayo ko, ako raning ipalondre. O niya kay karun ilaghan manay kaayo, Mga pila siguro nyo siya kalod sa londre. Iko ako nyo sa palabali dito sa gawas. Oniya kay magpalabam ako karon, nang ako siguro mabairan ani, mga, sa tulok alod na anas siya mga 600 kapin. Oniya, mupalit lang ko ugdaw ni sa gawas. Tag cheese ang osan. Niya kinalan ko tulog ani, kay magbagamit man ko ug daw ni ana upat ka dalod. So upat ka dalod niya tulokahulganan, tulokalod. Tag upat ka dalod, so na ay dosiya kong palitonon ni ane nga daw ni. Onya ang sabon nga gamiton ane nga liquid soap kay kuwan. Tag duha ka dalod, ka dalunod ane nga bupalit pag yod ko og kanang sa'y tawag anon nga gamiton ani nga liquid soap kay koan. Tag-dag duha ka dalod, ka dalunod, ani abo palit pag-yod ko og. Kanang sa'y tawag ani bleach bakan nang sunrocks sa ani nga di kolor. Bahinon lang nako katong tag-bainty. Bahinon sa tulok alod. Uniya ani kahuman sa tulok alod. Mga duha ka oras, mahuman ang labba. O niya ako pa niya siyagi pa pico. Daan dito niya tulok alod, tulusan na siyaka pico. Nya tagwarintaman ka dalod sa pico. Sud na ay mga sintubainte ka da pico. Onyay maura to siya. Bye.",0.7756653992395437,165,16,23,82,0.3301400147383935,186,85,177,1086
CEB_012,Cebuano,male,Philippines,Tagalog / Filipino,Philippines - Manila (Tagalog),Linux,Mobile,127,45-59,True,native,001_004,10,"Unsa oras ka kasagaran mubangon? Kasagaran ko mubangon kana sigurong alas sais na. Alas sais na ko kasagaran mubangon. Pero sa una katong mag-jogging jogging pa ko katong mag-measure pa ko sa silencio mubangon ko mga alas singko kay mag-jogging pa man ko ana, mag-walking ko bisan asa kay mag-mag-mangita ko og kanang mga hex bitaw kay mag-measure ko sa mga hex, mag-measure kog mga noise. diay dili hex, mga noise. Niya, diri sa Selencio. Niya, karon nga wala na to siya, voice AI na lang, gitapol na sad ko og laag-laag. Tapol na ko og lakaw-lakaw so mag-record na lang ko diri pareha ani karon. Mag-record na lang ko. Sa sayo gihapon ko mumatag kay mag-record man ko sayo sa buntag pero dili na ko maglakaw-lakaw."," Onsa oras ka kasagaran mo bangon. Kasagaran ko mo bangon ka nansigurong alasais na, alasais na ko kasagaran mo bangon, pero sa un na katong mag-jaging jaging pa ko, katong mag-missure pa ko sa selenusyo, mo bangon ko mga alasing ko kay mag-jaging pamanko ana, mag-woking ko besan asa kay mag-mangita ko og ka na mga hex bitaw kay mag-missure ko sa mga hex, mag-missure ko mga noise. Di ay dili, hex mga noise niya. Diri sa selinosyon niya. Karon nga wala na to siya, voice AI nalang, di tapol na sad ko gla-agla-agli sa tapol na ko gla-kaw lakaw. So mag-record nalang ko dili, parihaan ni karon. Mag-record nalang ko mo sa, sayo gihapon ko mo mata kay mag-record man ko sayo sa buntag. Pero dili nako maglakaw lakaw.",0.5669291338582677,61,4,7,62,0.15782122905027932,49,32,32,635
CEB_012,Cebuano,male,Philippines,Tagalog / Filipino,Philippines - Manila (Tagalog),Linux,Mobile,161,45-59,True,native,001_005,11,"Pilan na ka katuig sa trabaho? Taud-taud na kong nagtrabaho ug dugay na kaayo ko nga nasigig trabaho og mga napulo na ka tuig kong naadtoan sa trabaho. Bisan unsa na lang nga klase sa trabaho ang akong gisudlan. Ngano maning mga ingon ani mani? Tungod kay lisod kaayo ang among kahimtang, so kinahanglan gyud nga magtrabaho aron makakuha og kwarta. Kay kon walay kwarta, unsay may among ipalit og bugas? Og usa imo'y palit og bugas, kon wala may bugas, unsa may among kaonon? So kinahanglan gyud nga manarbaho mi para na ka may sweldo. Unya wala ko kasabot ani. Kinahanglan na may sweldo unya, muna may sweldo makapalit mog bugas og sud-an, ug muna may bugas og sud-an makakaon mi. Siyempre, nganong ingon ani mani? Kalain sa ako ang koan. Pero mao rato, ani na lang pud tug. Nganong, nganong moana man siya nga dili ko niya madungog? Nga unsa diay ni? Sige, sige. Undangon sa nako ni bi."," Pilan naka katuig sa trabaho. Taod-taod na kung nagtrabaho, ug dugay nakaayo ko nga saksigig trabaho, ug mga napulo naka tuig ko nga aduan sa trabaho, bisan unsan langa klasi sa trabaho, ug ako ang gisud langa nga nomaning mga ingon-ane mani. Tongod kay lisud kaayo ang amukahimtang, so kinahaland yun nga man trabaho, aron maka kuha og kwarta. Kay konwulay kwarta, usamay amugi palit ug bugas, ug usay amugi palit ug bug kula'a may bugas, unsamay among kaunon. So kinahalan dun nga manarbako, hindi para na ka miswildo un'ya, hula' ko ka sabot ani. Kinahalan na miswildo un'ya, muna'a miswildo makapalit magbugas ug sudan, ug muna'a may bugas ug sudan, makakaun, misyemple, nga nong ingun ani, mani ka lain sa koan koan. Pero maula'to, anong nalang kutong, nga nang nga naman naman siya nga, dili ko niya madungog, ngaun sa deini, sigi-sige, umdangun sa nalakon nabih.",0.7329192546583851,98,17,3,46,0.2195945945945946,84,65,46,739
CEB_012,Cebuano,male,Philippines,Tagalog / Filipino,Philippines - Manila (Tagalog),Linux,Mobile,94,45-59,True,native,001_006,12,"Kanunay ka ba mag-video call? Dili baya. Ang importante nga akong makaistorya maong akong mga pamilya, mga suod nga higala mag-video call ko ana nila, pero dili kaayo ko kasagaran nga ganahan mag-video call kay hasulan ko. Okay ra gid nako kanang audio call, pero video call, samot nag kanang wala koy hilam-os, ungas kaayo kong paminaw nako, ungas kay akong itsura, so dili ko mag-video call kay maulaw man ko. Bati, bati kaayo para nako ba bati kaayo ako itsura, pero dili ra baya siguro. Pero maulaw lang gyud ko mag video call."," Kanunay ka ba mag-video call? Dilik ba ya ang importante nga akong maka-history ak mo nga ko mga pamilya, mga suod niya higala, mag-video call ko anak nila, pero dilik ka ko kasagalan nga nahan mag-video call kay ahsulan ko. Ok rag din nako kan nang audio call pero video call. Samut nga kan nang ula ko hila mo us. Ungas ka ekong paminaw nako. Ungas ka ekong itsyura. So dilik ko mag-video call kay maulao man ko. Batik kay para na ko ba. Batik kay wa ko itshura dili arabiya siguro. Pero maulao lang din ko mag-video call.",0.648936170212766,52,2,7,40,0.1807909604519774,33,35,28,463
CEB_012,Cebuano,male,Philippines,Tagalog / Filipino,Philippines - Manila (Tagalog),Linux,Mobile,105,45-59,True,native,001_007,13,"Asa ang imong napanglakwan na? Daghan baya kong napanglakwan, samot na tong ga sige ko og measure sa noise sa silencio, daghan kay ko'g maabtan nga kanang wala pa nako naabtan sa una, nalakwan sa una. So, gasugod kog measure adto, daghan kay kong nasudlan nga mga lugar nga wala jus nako naagi pero kinahanglan akong agian kay kinahanglan man ko mag-measure didto dapita. Bisan asa ko maabot, daghan kong nalakwan. Unya, bisan asa, bisan dili sa Cebu, katong moadto kog bisan asa laing nga isla, mong maglakaw-lakaw gihapon ko didto kay mag-measure man ko. Basta naa lay signal gyud ay mag-measure ko, maglakaw-lakaw ko."," Asa ang imong napang lakwana. Daghan may akong napang lakwan. Samot natong gagasegay kong measure sa noise at silensyo. Daghan kay kong maabdan. Nga kanang wala pan ako naabdan sa unan. Na lakwan sa una. Soka sokod kong measure adto. Daghan kay kong nasublan nga mga lugar nga wala. Jo nako na agay pero kinahanglan. Akong agiyan kay kinahalan mako mag-me-sure dito na pita. Bisan asa ko maabot. Daghan kong nalakwan.ya, bisan asa, bisan lili isa sibu, katung mo adtukog bisan asa lahin nga isla, mo maglakaw-lakaw gihap mong ko dito kay mag-mensure man ko, basta na alay signal yun ay mag-mensure ko, maglakaw-lakaw ko.",0.6190476190476191,59,3,3,43,0.14838709677419354,44,24,24,552
CEB_010,Cebuano,male,Philippines,Tagalog / Filipino,Philippines - Manila (Tagalog),Linux,Mobile,268,35-44,True,native,004_002,32,"Sa gabii, kasagaran mosugod ko sa paghinay-hinay og pahulay human sa usa ka taas ug kapoy nga adlaw. Una, manglimpyo ko gamay sa akong palibot, maghan-ay sa higdaanan, og maghipos sa mga gamit, og mag-andam sa mga butang nga gamiton nako ogma aron dili na magdali sa buntag. Human ana, mag inum ko og tubig o init nga tsaa aron ma-relax ang akong lawas. Usahay magluto ko og simplo-- simple nga panihapon o mokuha na lang og makaon nga sayon ihanda, sama sa noodles, itlog, o ginagmay nga ulam nga dili na kinahanglan daghang oras sa kusina. Pagkahuman sa panihapon, magpahuhay ko pinaagi sa pagtan-aw og sadida sa selpon o telebisyon. Ganahan ko og mga sadida nga makapahupay sa hunahuna, sama sa komedi, aron mawala ang stress sa tibuok adlaw. Usahay sab, mapaminaw ko og musika samtang nagtan-aw sa gawas sa bintana og naglingkod lang sa higdaanan. Naghunahuna sa mga butang nga nahitabo sa adlaw kong aduna'y mensahe gikan sa mga higala o pamilya. Mag-reply ko og magkimustahay gamay aron mapabilin ang among koneksyon bisan busy ang matag usa. Sa ubang gabii, magbasa ko og libro o artikulo online, labi na kung gusto nako makakat-on og bag-ong butang o magpalapad sa akong kahibalo. Nalingaw ko sa pagbasa sa mga istorya nga makahatag og inspirasyon o mga tips nga magamit sa adlaw-adlaw nga kinabuhi. Kon aduna'y personal nga goal sa plano, magsulat ko og gamay sa notebook, mga ideya, mga buhaton og ugma, o mga butang nga akong gipasalamat karong adlawa. Nakatabang kini aron mas klaro ang akong hunahuna og mas malinaw ang akong pagbati sa dili pa matulog."," Sa gabiii, kasagaran mong sugod ko sa paginahinay og pahulay human sa usaka taas og kapoy ng adlaw. O na manglimpiyo ko gamay sa kumpalibot, magahan ay sa higdaanan og maghipo sa mga gamit og magandam sa mga butang na gamito na ko ug maarong dili na magdali sa buntag. Human ana, maginom ko ug dobig ko init nga chaa aron nga relax ang akong lawas. Usahay magluto ko ug simple nga panihapon o mukua nalang ug makaon nga ay sayon ihanda sa masanudils, itlog ug ginagmay nga olam nga dili na kinahang nandaggang ora sa kusina. Pag kahuman sa panihapon, magpahaway ko pinahagi sa pagtanaw sa dida sa silpon o silibisyon. Ginahan ko ug mga salida nga makapa-hopay sa una-una sa masakumidi, aron mawal ang stress sa tibuhok adlaw. Osahay sa mga paminaw ko ug musika sa mtang nagtanaw sa agawas sa bintana ug nalingkod lang sa gdanan. Nagunahuna sa mga butang nga anahitabo sa adlaw ko adunay minsahegikan sa mga higala o pamilya. Mag-replay ko ug magkimustahay gamay aron magpabilin ang amang koneksyon saan bisi ang matag-usa. Sa ubang gabii, magbasa ko uliburo o artikolo online, labi na kung gusto na koakat-on og bag-ung butang o magpalapad sa akong kahebalo. Dalingaw ko sa pagbasa sa mga historia nga makahata, kog inspirasyon o mga tapes nga maggamit sa adaw-dlaw nga kinabuhi. Kuangodun ay personal nga goal sa plano. Magsulat ko og gamay sa notebook, mga ideya, mga buhato nga ugma o mga butang nga akong gi pasalamat karong adlawa. Takatabang kini aron mas klaro ang akong hunahuna ug mas malinaw ang akong pagbate sa dili pamatulog.",0.44776119402985076,101,10,9,157,0.11174968071519796,67,68,40,1431
CEB_010,Cebuano,male,Philippines,Tagalog / Filipino,Philippines - Manila (Tagalog),Linux,Mobile,303,35-44,True,native,004_003,33,"Ang akong paboritong holiday gawas sa Pasko mao ang Holy Week, labi na mga adlaw sa Huwebes Santo ug Biyernes Santo. Espesyal kaayo ni para nako kay dili lang kini bakasyon gikan sa trabaho o eskwela, kondili usa usab ka panahon sa pagpamalandong, paghinay sa dagan sa kinabuhi, o paghatag og oras para sa kaugalingon ug sa pamilya. Sa Holy Week, mas malinaw ang palibot, mas gamay ang kasaba, ug mas kadaghan og panahon para maghunahuna sa mga butang nga importante sa kinabuhi. Dili sama sa ubang holiday nga puro kasadya ug handa, ang Holy Week nagtudlo kanako sa kahinungdanon sa pagpahuway sa hunahuna ug kasingkasing, ug sa paghinumdom sa mga sakripisyo nga gihimo alang sa kaluwasan sa katawhan. Ganahan ko sa Holy Week tungod kay kini usa ka higayon nga makabalik ko sa simple nga kinabuhi. Sa among balay, kasagaran wala kaayo'y daghang laka ug handa kondili simple ra nga pagkaon ug hilom nga palibot. Maminaw mi og misa, motan-aw og religuos nga salida, o magbasa og Bibliya. Kini nga mga buhat makatabang kanako nga mas makasabot sa espiritwal nga aspeto sa kinabuhi ug mas makapamalandong sa akong mga sayop, mga kalampusan, ug mga plano sa umaabot. Ang kahilom sa Holy Week murag usa ka pahulay alang sa hunahuna nga permi napuno sa problema, trabaho, ug responsibilidad sa adlaw-adlaw. Usapa ka holiday nga paborito nako mao ang All Saints Day ug All Days Soul. Bisan og medyo malungkot ang tema, importante kaayo kini nga mga adlaw para nako tungod kay naghatag kini og higayon nga mahinumduman ang mga minahal nga namatay na. Sa mga adlawa sama niini, muadto mi sa sementeryo, maghinlo sa lubongan, magdala og bulak ug kandila, ug mag-ampo para sa kalag sa among mga paryente. Dili lang kini tradisyon, kondili usa usab ka paagi sa pagpakita sa among pagdayeg"," Ang akong paboritong holiday gawa sa pasko, mawang holiwik, labi na mga adlaw sa huwebe santo ubi erne santo. Special kaayon ni para nako kay dili lang kini bakasyon gi kan sa terbao o sekwela. Kung dili usa-usab ka panahon sa pagpamalandong paghinay sa dagan sa kinabuhi o paghatagog oras para sa kaugalingon nung sa p pamilya. Sa hollywick, mas malinaw ang palibot, mas gamay ang kasaba og mas kadaghan ug panahon para magunahuna sa mga butanga importante sa kinabuhi. Dili sa mas sa obang halidi nga puro kasadia og handa. Ang hollywick nagtudlok ka nako sa kehinong danon sa pagpahuway sa hunahuna og kasingkaseng og sa paghinomdom sa mga sakrapisyo nga gimo alang sa kalawasan sa katawhan. Genahan ko sa holiwik tungod kay kiniu sa kahigayon nga makabali ko sa simple nga kinabuhi sa mong balay kasagaran ula kayoy dagang laka ug handa kundili. Simpler ang pagkaon og hilom nga palibot. Maminaw mi ug misa motan aw ug religios nga salida ug magbasa ug bibliya. Kininga mga buhat, makatabang ka nako nga mas makasabot sa spiritual nga aspito sa kinabuhi og mas maka pamalandong sa akong mga sayok. Mga kalampusan og mga plano sa umaabot. Ang kahilom sa holiwik murag o sa kapahulay alang sa hunahuna nga permi na puno sa problema, trabaho og responsibilidad sa adadlao. O sa pakahalid day nga, baburito nako mauang all since day og all days, soul, bisan og medyo malungkot ang tema. Importante kayo kini nga mga adlao para nako tungod kay naghatag kini og higayon nga mahinom duman ang mga minahal nga na matay na. Sa mga adlawa sa mani ini mo addtumi sa cementeryo, maghinlo sa lubungan, magdala og bulak og kandila og magampo para sa kalag sa among mga peryente. Dili lang kini tradisyon, kundili usa-usab ka paagi sa pagpakita sa among padayo",0.49174917491749176,125,12,12,166,0.11768018018018019,106,65,38,1605
CEB_010,Cebuano,male,Philippines,Tagalog / Filipino,Philippines - Manila (Tagalog),Linux,Mobile,475,35-44,True,native,004_004,34,"Ang akong damgo sa kinabuhi mao ang pagkinabuhi nga malinaw, malipayon ug makahuluganon dili lang para sa akong kaugalingon kondili usab para sa akong pamilya ug sa mga tawo nga naa sa akong palibot. Gusto ko nga makabuot ang usa ka kahimtangan sa kinabuhi nga dili pirmi puno sa kabalaka ug kakapoy kondili adunay balanse tali sa trabaho, personal nga kalipay ug panahon para sa pamilya. Usa sa akong pinakadakong damgo mao ang mahimong financially stable aron dili na pirmi maghunahuna kung asa mangita og kwarta para sa adlaw nga panginginahanglan. Gusto nga makahatag og komportable nga kinabuhi sa akong pamilya, makasuporta sa ilang mga pangandoy ug makahatag og maayong edukasyon sa akong mga anak o mga manghud kung naa man. Para nako, ang tinuod nga kalampusan dili lang sukdon sa kadaghan sa kwarta kondili sa kahimtangan sa hunahuna ug kasingkasing nga matag adlaw mubangon nga walay bug-at nga pagbati ug matulog nga malinaw ang konsensya. Bahin usab sa akong damgo ang personal nga pagtubo o pagpaayo sa kaugalingon. Gusto nga magpadayon sa pagkat-on og bag-ong mga kahanas labi na sa mga butang nga makatabang sa akong career ug sa akong personal nga interes. Damgo nako nga makakita og trabaho og negosyo nga dili lang makahatag og igo nga kita kondili usab makahatag og katagbawan og kahulugan sa akong gibuhat. Gusto ko nga mubati nga importante ang akong kontribusyon og adunay positibong epekto sa uban. Apil sa akong damgo ang pagkahimong mas maalamon, mas mapailubon og mas responsable nga tawo nga kabalo moatubang sa mga pagsulay sa kinabuhi nga dili dayon mohunong o moundang. Gusto nga mahimong inspirasyon sa akong pamilya og sa mga tawo nga nakaila nako nga makita nila nga posible ang pag-uswag bisan pa sa kalisud kon adunay disiplina, pagtuo sa kaugalingon og paningkamot. Usa pa sa akong damgo mao ang pagbiyahe o pag-explore sa lain-laing lugar. Gusto nga makakita sa lain-laing kultura, makaila og lain-laing klase mga tawo og makasinati og bag-ong mga butang nga makapalapad sa akong paglantaw sa kinabuhi. Ang pagbiyahe para nako dili lang para sa kalipay kondili para sa personal nga pagtubo og pagkat-on. Damgo nako nga makabisita sa mga lugar nga adunay nakong gihandum. Og makabuhat og mga handuman nga mopabilin sa akong hunahuna hangtod sa katapusan sa akong kinabuhi. Gusto ko usab nga makabyahe uban sa akong pamilya o mga higala kay maespesyal ang mga kasinatian kon naa kay mga kauban nga imong gihigugma og gisaligan. Apil usab sa akong damgo ang pagkatiman sa akong kahimsog, pisikal, mental og emosyonal. Gusto nga mopabilin nga himsog aron makabuhat pa ko sa daghang mga butang nga akong gihandum. Gusto nga mag-practice og maayong pamatasan sama sa regular nga ehersisyo, husto nga pagkaon og igo nga tulog. Kabalo ko nga bisan unsa pakadako ang akong mga damgo, dili nako kini makabuot akong pirmi ko masikiton o walay kusog."," Ang akong damgo sa kinabuhi maho ang pagkinabuhi nga malinao, malipayon og makahuloganon dili lang para sa akong kaogalingon kundi usab para sa akong pamilya og sa mga tawong nga asa akong palibot. Gusto ko nga makabuot ang usaka kahimtangan sa kinabuhi nga dili permi puno sa kabalaka og akapoy, kundili adonay balansi tali sa trabaho, personal nga kalipay og panahon para sa pamilya. Usas sa akong pinakadakong damgo mao ang mahimong financial stable aron dili na permi, magunahuna kong asami taog kwarta para sa dadlaw na pangingin hanglan. Gusto nga makahatag og komportable nga kinabuhi sa akong pamilya. Makasuporta sa ilang mga pangandoy og makahatag og maayong edokasyon sa akong mga anak o mga manhod kung naaman. Para nako ang tinood nga kalampusan dili lang sokdon sa kadaghan sa korta kundili sa kahimtangan sa hunahuna og kasing-kasing. Nga matag-adlaw mo bangon nga wulay bug at nga pagbati og matulog nga malinaw ang konsensya. Bahin usab sa akong damgaw ang personal nga pagtobo o pagpaayo sa koogalingon. Gusto nga magpadayon sa pagkaton og bagong mga kahanas. Labi na sa mga butang nga makatabang sa akong career og sa akong personal na interest. Damgo nako nga makakita og trabaho og degosyo nga dili lang makahatag og igo nga kita, kundili usab makahatag og katagbawan og kahulogan sa akong gibuhat. Gusto kong nga mubati nga importante ang akong kontribusyon og adonay positibong ipikto sa oban. Apil sa akong damgo ang pagkahimong mas maalal-lamon, mas mapay-lubon og mas responsabli nga tao, nga kabalo mo atubang sa mga pagsulay sa kinabuhi, nga dili-dayon mohunong o moundang. Gusto nga mahimong isparasyon sa akong pamilya og sa mga tao nga nakaela nako nga pa kita nila nga posibli ang pag-usuwag bisan pa sa kalisod ko adunay disiplina, pagtuhu sa kao galingon og paningkamot. Usap pa sa akong damgaw mao ang pagbiahe og pag-explore sa lain laing lugar. Gusto nga maka kita sa lain laing k kultura makaila og laing-laing klase mga tao og makasinati og bagong mga butang nga makapalapad sa akong paglantaw sa kinabuhi. Ang pagbiyahe para nako, dili lang para sa kalipay, kundi para sa personal nga pagtobo og pagkaton, damgo nako nga makabisita sa mga lugar nga adonay nga konggi handom. Og makabuhat og mga handomal nga mga pabilin sa akong unahuna hangtod sa katapusan sa akong ginabuhi. Gusto ko usab nga makribyahi oban sa akong pamilya o mga higala kay may special ang mga kasinatiyan kung naakay mga kaoban nga imong gihugogma o gisaligan. Apilo sab sa akong damgo ang pagkatiman sa akong kahimsog, physical, mental og emotional. Gusto nga makpabilin nga himsog aron. Mukabuhat pa ko sa daghang mga butang nga akong gihandom, gusto nga magpraktis og maayong pamatasan sama sa regular nga ersisyo, gusto nga pagkaon og igo nga tulog. Kabulo ko nga bisan unsa, pakadako ang akong mga damgo, dili nako kini makabuot, akong permi ko masikiton o walaibos ko-sog.",0.3178947368421053,133,6,12,336,0.06710709318497914,99,40,54,2737
